VDA_id,y,x,NSI_fd_id,NSI_occtype,NSI_bldgtype,NSI_bid,NSI_st_damcat,NSI_sqft,NSI_found_type,NSI_found_ht,NSI_val_struct,NSI_val_cont,NSI_firmzone,NSI_ground_elv_ft_NAVD88,LC_DS_PDA,LC_occupancy_type,LC_damage_details,LC_bldg_image,LC_student_notes,VDA_elevation_status,VDA_breakaway_walls,VDA_number_of_stories,VDA_DS_roof,VDA_DS_walls,VDA_DS_foundation,VDA_DS_attachments,VDA_DS_openings,VDA_DS_overall,VDA_DS_overall_num,VDA_DS_noroof,VDA_confidence_level,VDA_data_source,VDA_assessment_status,VDA_notes,TA_FolioID,TA_SiteAddress,TA_BldgUseTyp,TA_BasemapCla,TA_MaxStories,TA_ActYearBuilt,TA_EffYearBuilt,TA_EstimatedV,TA_ShapeSTArea_Sqft,FEC_Street_Address,FEC_Building_Use,FEC_Flood_Zones,FEC_BFE,FEC_Elevation_Datum,FEC_Building_Status,FEC_TBF,FEC_TNHF,FEC_LHS,FEC_Attached_Garage,FEC_Lowest_Elevation_of_Equipment,FEC_Lowest _Adjacent_Grade,FEC_Highest_Adjacent_Grade,FEC_Lowest_Adjacent_Grade_at_Lowest_Stairs,FEC_Building_Diagram_Number,FEC_FFE,FFE_grnd_elev_m_NAVD88,FFE_grnd_elev_ft_NAVD88,FFE_shoreline_dist_m,FFE_bldg_diagram,FFE_foundation,FFE_elev_status,FFE_elev_desc,FFE_ffe_ft,FFE_nhf_ft,FFE_lhsm_ft,FFE_measurement_type,FFE_confidence,FFE__notes,SurgeElev_Avg_NAVD88_m,SurgeElev_Low_NAVD88_m,SurgeElev_High_NAVD88_m,SurgeWave_Avg_NAVD88_m,SurgeWave_Low_NAVD88_m,SurgeWave_High_NAVD88_m
FMB0011,26.452625,-81.94762,496537659,RES1-2SNB,W,76RWF332+2XR-3-3-2-3,RES,3834,S,0.5,239594.076,119797.038,AE,4.430917,major,single family,yes,yes,The picture shows the front of the house. Damage detail talks about water line and how the foundation is the only thing that reamins. ,yes,yes,2,DS0,DS0,DS0,DS0,DS0,DS0,0,DS0,High,Aerial+StEER,Full,The building experienced little to no damage.,10228301,266 OHIO AVE,single family residential,Residential,1.5,2015,2015,576351,3434.276667,,,,,,,,,,,,,,,,,1.59,4.89,398.432277,7,Wall,elevated,Likely Elevated,8.330914286,15.71708571,,imagery,High,"nhf is approximate, no good external dileneation for second story",3.981254178,3.641254178,4.321254178,4.222102316,3.882102316,4.562102316
FMB0012,26.454044,-81.948335,496537660,RES1-1SNB,W,76RWF332+JM7-3-3-3-3,RES,1034,C,1.5,95918.1927,47959.0963,AE,3.543881,major,single family,yes,yes,The pictures show the front of the house. Damage detail talks about the waterline and non-structural damage to the roof.,no,no,1,DS1,DS0,DS0,DS0,DS1,DS1,1,DS1,High,Aerial+Lee County,Full,The building is still intact looks but did experience some damage. Roof; there is some minor gutter damage/ soffit. Openings; the front door is bearly holding onto its hinges. When looking in OSU map this house was demoed and all that is left is an empty lot.,10228221,260 MIRAMAR ST,single family residential,Residential,1,1959,1979,41403,1791.99059,,,,,,,,,,,,,,,,,0.97,3.78,510.200446,1A,Slab-on-Grade,not-elevated,Clearly Not Elevated,0,,,imagery,High,slab on grade,3.891839643,3.551839643,4.231839643,4.072399268,3.732399268,4.412399268
FMB0013,26.452305,-81.951694,496537661,RES1-2SNB,W,76RWF22X+W8F-3-4-3-3,RES,2868,C,1.5,193441.488,96720.744,AE,4.528603,destroyed,single family,yes,yes,Building was completely destroyed only foundation remains,yes,no,1,DS5,DS5,DS6,DS3,DS3,DS6,6,DS6,High,Aerial+Lee County,Full,Building was completely destroyed a total loss,10228068,1321 SANTOS RD,single family residential,Residential,1,1950,1992,227338,1868.195811,,,,,,,,,,,,,,,,,1.17,4.36,194.609116,7,Wall,elevated,Probably Elevated,6.986821589,,,imagery,High,probably elevated because elevated utilities but also utilities and entrances on grade level,4.144312707,3.804312707,4.484312707,4.687731065,3.787731065,5.587731065
FMB0014,26.453752,-81.952553,496537662,RES1-1SNB,W,76RWF23W+GX4-2-3-2-3,RES,1488,C,1.5,119090.092,59545.046,AE,3.874509,major,single family,yes,yes,Image of front of house. A lot of debris visible but only staining present on house,yes,no,1,DS0,DS1,DS0,DS1,DS0,DS1,1,DS1,,Aerial+Lee County,Full,"Damage to stairs on right side of building, some staining on walls",10228155,180 PRIMO DR,single family residential,Residential,1,1945,1989,151804,1897.995651,,,,,,,,,,,,,,,,,1.41,3.95,293.702753,6,Piles/Columns,elevated,Likely Elevated,8.747427293,,6.907121551,imagery,High,trees obscure exact location of ffe as well as stairs,4.065037798,3.725037798,4.405037798,4.414341644,4.074341644,4.754341644
FMB0015,26.452884,-81.952968,496537663,RES3A,S,76RWF23W+5R3-1-1-2-2,RES,3206.875,I,8,528986.39,264493.195,AE,3.660963,destroyed,multi-family,yes,yes,Image is of rubble,no,no,2,DS5,DS5,DS6,DS3,DS3,DS6,6,DS6,,Aerial+StEER,Full,"Building washed away, found elevation seems high. Part of mobile home community",10557293,No Site Address on reco,single family residential,Residential,2,1960,1982,62285,592.747465,,,,,,,,,,,,,,,,,1.48,3.48,189.016902,7,Wall,elevated,Probably Elevated,10.15269231,,,imagery,Medium,poor line of sight makes measurements somewhat unpredictable. ,4.148786478,3.808786478,4.488786478,4.707728612,3.807728612,5.607728612
FMB0016,26.452908,-81.946599,496537664,RES1-1SNB,W,76RWF333+596-3-2-4-1,RES,1742,C,1.5,132860.113,66430.0565,AE,4.6502,major,single family,yes,yes,The pictures show the front of the house. Damage detail talks about the waterline and how only the foundation remains.,yes,no,1,DS2,DS0,DS0,DS0,DS0,DS2,2,DS0,High,Aerial+StEER,Full,The building is still intact looks but did experience some damage. Roof;a good amount of the shingles are missing or blown away. ,10228273,260 VIRGINIA AVE,single family residential,Residential,1,1950,1983,150902,3235.884011,,,,,,,,,,,,,,,,,1.45,4.77,472.256981,1B,Slab-on-Grade,not-elevated,Clearly Not Elevated,3.077738095,,,imagery,High,slab on grade,3.922194415,3.582194415,4.262194415,4.118608089,3.778608089,4.458608089
FMB0017,26.453176,-81.949855,496537665,RES1-2SNB,W,76RWF332+73C-2-4-3-3,RES,3204,C,1.5,234834.578,117417.289,AE,4.325749,major,single family,no,yes,1 decent picture,yes,no,1,DS4,DS2,DS0,DS3,DS3,DS4,4,DS3,High,Aerial+OSU,Full,Not 100% sure about the breakaway walls because in LC the picture does not show breakaway but in OSU it does look that way. Roof is heavy damaged and so are the openings and attachments,10228055,249 CAROLINA AVE,single family residential,Residential,1,1950,1981,169526,2901.929786,,,,,,,,,,,,,,,,,1.18,4.18,359.591332,7,Wall,elevated,Probably Elevated,6.18179938,,,imagery,High,,4.012326934,3.672326934,4.352326934,4.285804605,3.945804605,4.625804605
FMB0018,26.452677,-81.950458,496537666,RES1-1SNB,W,76RWF23X+3RF-4-5-5-5,RES,2987,S,0.5,190695.273,95347.6368,AE,1.694167,major,single family,no,yes,3 good pictures,yes,no,2,DS1,DS1,DS0,DS3,DS3,DS3,3,DS3,Medium,Aerial+Lee County,Full,Pretty confusing structure to do the assessment on but looks to have minor roof damage and wall damage,10228092,501 PALERMO CIR,single family residential,Residential,1,1935,1988,416158,10126.04863,,,,,,,,,,,,,,,,,1.5,4.28,283.070853,,,,,,,,,Low,no line of sight on structure. ,4.073543318,3.733543318,4.413543318,4.438168841,4.098168841,4.778168841
FMB0019,26.452771,-81.951009,496537667,RES1-2SNB,W,76RWF23X+4H5-5-3-5-3,RES,4016,C,1.5,248115.355,124057.677,AE,3.873699,major,single family,no,yes,1 good picture,yes,no,2,DS2,,DS0,DS0,DS3,DS3,3,,Low,Aerial+Lee County,Partial,Not many angles on this house so difficlut to see damage. It is new construction so probably not a lot of damage but I can't see enough to make a good judgement call,10228094,551 PALERMO CIR,single family residential,Residential,3,2016,2016,1998527,3437.757319,,,,,,,,,,,,,,,,,1.4,4.3,270.511992,7,Wall,elevated,Likely Elevated,10.06508876,22.44970414,,imagery,High,"tall structure means perspective may be off. using the garage door as an assumed 7 ft bench mark, I was able to get more realistic measurements. ",4.083590406,3.743590406,4.423590406,4.467671989,4.127671989,4.807671989
FMB0020,26.452806,-81.952843,496537668,RES3A,W,76RWF23W+4VF-1-1-1-2,RES,3000,S,0.5,497338.954,248669.477,AE,3.680156,destroyed,,,,No PDA entry,no,no,1,DS5,DS5,DS6,DS3,DS3,DS6,6,DS6,,Aerial+StEER,Full,"Building washed away, found elevation seems high. Part of mobile home community",10557293,No Site Address on reco,single family residential,Residential,1,1960,1982,16636,411.142615,,,,,,,,,,,,,,,,,0.85,3.53,187.23628,8,Crawlspace,not-elevated,Clearly Not Elevated,1.868577406,,,imagery,High,"mobile home on cinderblock footings on one side, other side has no distinguishable elevation.",4.150210976,3.810210976,4.490210976,4.714238734,3.814238734,5.614238734
FMB0021,26.452701,-81.946301,496537669,RES1-1SNB,W,76RWF333+3FP-2-2-3-2,RES,1225,I,8,105829.342,52914.6712,AE,3.633601,minor,single family,yes,yes,,yes,no,1,DS0,DS0,DS0,DS0,DS0,DS0,0,DS0,High,Aerial+OSU,Full,no visible damage to the entire building,10228025,241 PEARL ST,single family residential,Residential,1,2007,2007,282343,2253.967296,241 Pearl St,res,ae,10,navd,Finished,4.6,14.6,na,4.6,14.5,4.3,4.4,4.6,6,14.6,1.27,4.12,457.69067,7,Wall,elevated,Likely Elevated,10.09574468,,,imagery,High,bottom story appears to be all garages,3.933847464,3.593847464,4.273847464,4.137490331,3.797490331,4.477490331
FMB0022,26.45363,-81.948127,496537670,RES1-1SNB,W,76RWF332+FP5-3-3-3-2,RES,1188,S,0.5,103916.625,51958.3128,AE,4.61551,major,single family,yes,yes,The pictures show the front of the house. Damage detail talks about the waterline and how only the foundation remains.,no,no,1,DS1,DS0,DS0,DS0,DS0,DS1,1,DS0,High,Aerial+StEER,Full,The building is still intact looks but did experience some damage. Roof; there is a small number of shingles missing (See NOAA and NOT the RAPID dorne image.),10228322,295 OHIO AVE,single family residential,Residential,1,1958,1982,107381,1839.109054,,,,,,,,,,,,,,,,,1.16,4.82,475.789437,1A,Slab-on-Grade,not-elevated,Clearly Not Elevated,0,,,imagery,High,slab on grade,3.91936845,3.57936845,4.25936845,4.114129448,3.774129448,4.454129448
FMB0023,26.452184,-81.949842,496537671,RES1-1SNB,W,76RWF322+V3F-2-2-2-3,RES,750,C,1.5,91641.6,45820.8,AE,3.785482,destroyed,single family,no,yes,"1 good picture, building was pulled off foundation",yes,no,1,DS5,DS5,DS6,DS3,DS3,DS6,6,DS6,High,Aerial+Lee County,Full,Building was pulled off its foundation and is a total loss,10228061,219 CAROLINA AVE,single family residential,Residential,1,1953,1978,42605,943.998778,,,,,,,,,,,,,,,,,1.27,3.7,263.087793,7,Wall,elevated,Likely Elevated,6.314511628,,,imagery,High,very old structure bottom story appears to be garage/storage,4.089529766,3.749529766,4.429529766,4.485860983,4.145860983,4.825860983
FMB0024,26.454265,-81.950529,496537672,RES1-1SNB,W,76RWF23X+PQ5-2-2-2-3,RES,2338,C,1.5,187904.319,93952.1596,AE,3.094857,minor,single family,no,yes,No visible damage,yes,no,2,DS1,DS0,DS0,DS0,DS0,DS1,1,DS0,,Aerial+Lee County,Full,Minor roof damage,10505510,429 PALERMO CIR,single family residential,Residential,2,2012,2013,696443,2481.927816,,,,,,,,,,,,,,,,,1.18,5.07,442.677878,7,Wall,elevated,Likely Elevated,10.34928036,21.2365967,,imagery,High,floodvents,3.945857698,3.605857698,4.285857698,4.157686036,3.817686036,4.497686036
FMB0025,26.451901,-81.950542,496537673,RES4,W,76RWF22X+QQ8-8-4-8-4,COM,5101.68,I,8,1168014.87,584007.439,AE,4.838815,major,commercial,no,yes,1 not great picture,no,no,3,DS0,DS2,DS0,DS3,DS2,DS3,3,DS3,High,Aerial+StEER,Full,Front office was destroyed and some of the walls are damaged. ,10477703,1479 ESTERO BLVD,Apt/Hotel/Clubs,Hotel/Motel,3,1984,1986,1006276,5326.99539,,,,,,,,,,,,,,,,,1.44,5.45,202.999609,1A,Slab-on-Grade,not-elevated,Clearly Not Elevated,0,9.026517857,,imagery,High,3 story motel,4.137600313,3.797600313,4.477600313,4.658930299,4.318930299,4.998930299
FMB0026,26.454313,-81.951872,496537674,RES1-1SNB,W,76RWF23X+P7C-2-2-2-3,RES,1056,I,8,97160.6237,48580.3118,AE,3.777963,major,single family,yes,yes,"Damage to soffit, siding stripped from from of house with a holle in lower lever",no,no,1,DS1,DS4,DS0,DS2,DS0,DS4,4,DS4,,Aerial+Lee County,Full,Hole in front wall and severely damaged back deck,10228131,241 PALERMO CIR,single family residential,Residential,1,1950,1983,88499,1260.006136,,,,,,,,,,,,,,,,,1.82,3.41,380.89438,6,Piles/Columns,elevated,Probably Elevated,6.056902256,,5.170526316,imagery,High,one step is approximately half the height of the rest,3.995284496,3.655284496,4.335284496,4.24994242,3.90994242,4.58994242
FMB0027,26.45512,-81.952538,496537675,RES1-1SNB,W,76RWF24W+2XW-3-3-2-2,RES,1350,S,0.5,112117.77,56058.885,AE,4.084583,major,single family,yes,yes,"Front of house. Damage to wall clading near front door, garage door damaged",yes,no,1,DS0,DS1,DS0,DS0,DS3,DS3,3,DS3,,Aerial+Lee County,Full,Garage door damaged and some cladding missing from one wall,10228146,250 PRIMO DR,single family residential,Residential,1,1953,1990,172037,2717.83888,,,,,,,,,,,,,,,,,1.4,4.23,428.122468,7,Wall,elevated,Probably Elevated,8.058,,,imagery,High,structure is wide so perspective may have been slightly off,3.957502026,3.617502026,4.297502026,4.178030264,3.838030264,4.518030264
FMB0028,26.451358,-81.946303,496537676,RES1-1SNB,W,76RWF323+GFW-2-1-2-2,RES,826,P,8,83707.1175,41853.5587,AE,3.5907,major,single family,yes,yes,,no,no,1,DS2,DS0,DS0,DS1,DS0,DS2,2,DS1,High,Aerial+OSU,Full,"<50 % shingles missing, minor gutter damage on eastern side",10228039,171 PEARL ST,single family residential,Residential,1,1972,1996,68873,2265.838836,,,,,,,,,,,,,,,,,1.96,3.77,318.035355,1A,Slab-on-Grade,not-elevated,Clearly Not Elevated,0,,,imagery,High,slab on grade,4.045571716,3.705571716,4.385571716,4.363340487,4.023340487,4.703340487
FMB0029,26.453687,-81.947608,496537677,RES1-1SNB,W,76RWF332+FXC-3-3-2-3,RES,2219.441176,I,8,208726.1714,149911.3566,AE,3.493621,major,single family,yes,yes,The pictures show the front of the house. Damage detail talks about the waterline and how only the foundation remains.,yes,yes,1,DS0,DS0,DS0,DS1,DS0,DS1,1,DS1,High,Aerial+StEER,Full,"The building is still intact looks but did experience some damage. Attachments; some of the planks on the deck and staircase look to be coming undone, but there are slight damages.",10228307,292 OHIO AV,single family residential,Residential,1,1950,1986,187684,2327.282916,,,,,,,,,,,,,,,,,1.12,4.51,502.746528,7,Wall,elevated,Probably Elevated,8.6775,,,imagery,High,"bottom story may have living space behind garages, but main  entrance is on  second floor",3.897802778,3.557802778,4.237802778,4.081159299,3.741159299,4.421159299
FMB0030,26.454175,-81.947898,496537679,RES1-1SNB,W,76RWF332+MR9-4-3-3-3,RES,1826,P,8,137509.641,68754.8206,AE,4.965817,minor,single family,yes,yes,The pictures show the front of the house. Damage detail talks about the water level line and how only the foundation remains.,yes,yes,1,DS1,DS0,DS0,DS0,DS0,DS1,1,DS0,High,Aerial+StEER,Full,The building experienced little to no damage. Roof; just some minor soffit damage.,10550394,300 OHIO AVE,single family residential,Residential,1,2011,2011,459985,4187.900464,,,,,,,,,,,,,,,,,1.32,4.82,540.344221,7,Wall,elevated,Likely Elevated,9.849226667,,,imagery,High,,3.867724623,3.527724623,4.207724623,4.038411946,3.698411946,4.378411946
FMB0031,26.454682,-81.953581,496537680,RES1-2SNB,W,76RWF23W+VHF-2-2-2-3,RES,2048,I,8,176984.122,88492.0614,AE,2.23178,minor,multi-family,yes,yes,Talked about exterior wall damages and the photos showed ,no,no,2,DS3,DS0,DS3,DS3,DS0,DS3,3,DS3,High,Aerial+StEER,Full,In the Steer photos we can see that the front balcanoy was completely destoryed but no damge to walls or openings. The foundation has scouring of about 1- 2 feet in multipe spots. From NOAA there seems to be some shingles missing. From the lee photos we see damage to a lot of the soffit ,10228391,340 CRESCENT ST,single family residential,Residential,1,1954,1982,124510,1439.990655,,,,,,,,,,,,,,,,,1.33,3.05,334.517894,1A,Slab-on-Grade,not-elevated,Unlikely Elevated,0,8.692106716,,imagery,High,trees obscure stairway. Lower floor has door number on it and there are multiple windows.,4.032385685,3.692385685,4.372385685,4.331270294,3.991270294,4.671270294
FMB0032,26.452182,-81.94634,496537681,RES1-1SNB,W,76RWF323+VFF-2-1-3-2,RES,1055,I,8,97104.8712,48552.4356,AE,3.810542,major,single family,yes,yes,,yes,no,1,DS2,DS0,DS0,DS0,DS0,DS2,2,DS0,High,Aerial+OSU,Full,<50% shingles missing,10228022,217 PEARL ST,single family residential,Residential,1,1966,1982,101146,1360.998148,,,,,,,,,,,,,,,,,1.55,3.84,401.770365,6,Piles/Columns,elevated,Probably Elevated,7.695496689,,6.089271523,imagery,High,"stairs have shallow rise, hard to tell if bottom story is living space or not, garage portion has lattice walls",3.978583708,3.638583708,4.318583708,4.216962502,3.876962502,4.556962502
FMB0033,26.453245,-81.946299,496537682,RES1-1SNB,W,76RWF333+7FW-2-2-1-2,RES,768,S,0.5,79717.9281,39858.964,AE,3.23193,major,single family,yes,yes,,yes,no,1,DS0,DS0,DS0,DS0,DS0,DS0,0,DS0,High,Aerial+OSU,Full,no visible damage to the entire building,10228029,251 PEARL ST,single family residential,Residential,1,1948,1977,43570,1065.001317,,,,,,,,,,,,,,,,,1.39,3.01,515.689268,6,Piles/Columns,elevated,Probably Elevated,5.769435216,,,imagery,Medium,very poor line of sight on structure.,3.887448586,3.547448586,4.227448586,4.066041911,3.726041911,4.406041911
FMB0034,26.452872,-81.948062,496537683,RES1-1SNB,W,76RWF332+4QW-3-2-3-3,RES,1430,I,8,116031.63,58015.815,AE,4.879714,major,single family,yes,yes,The pictures show the front and back of the house. Damage detail talks about the waterline and how only the foundation remains.,yes,yes,1,DS0,DS0,DS0,DS0,DS0,DS0,0,DS0,High,Aerial+StEER,Full,The building experienced little to no damage.,10228318,275 OHIO AV,single family residential,Residential,1,1950,1991,153108,3433.875501,,,,,,,,,,,,,,,,,1.63,5.27,401.844706,6,Piles/Columns,elevated,Probably Elevated,6.465354331,,5.165255906,imagery,High,,3.978524235,3.638524235,4.318524235,4.216848593,3.876848593,4.556848593
